date,Boyer
01/01/14,1
02/01/14,4
03/01/14,6
04/01/14,9
05/01/14,1
06/01/14,0
07/01/14,4
08/01/14,2
09/01/14,1
10/01/14,2
11/01/14,1
12/01/14,4
13/01/14,16
14/01/14,32
15/01/14,26
16/01/14,93
17/01/14,50
18/01/14,295
19/01/14,0
20/01/14,0
21/01/14,0
22/01/14,0
23/01/14,0
24/01/14,0
25/01/14,0
26/01/14,0
27/01/14,0
28/01/14,0
29/01/14,0
30/01/14,0
31/01/14,0
01/02/14,0
02/02/14,0
03/02/14,0
04/02/14,0
05/02/14,0
06/02/14,0
07/02/14,0
08/02/14,0
09/02/14,0
10/02/14,0
11/02/14,0
12/02/14,0
13/02/14,0
14/02/14,0
15/02/14,0
16/02/14,0
17/02/14,0
18/02/14,0
19/02/14,0
20/02/14,0
21/02/14,0
22/02/14,0
23/02/14,0
24/02/14,0
25/02/14,0
26/02/14,0
27/02/14,0
28/02/14,0
01/03/14,0
02/03/14,0
03/03/14,0
04/03/14,0
05/03/14,0
06/03/14,0
07/03/14,0
08/03/14,0
09/03/14,0
10/03/14,0
11/03/14,0
12/03/14,0
13/03/14,0
14/03/14,0
15/03/14,0
16/03/14,0
17/03/14,0
18/03/14,0
19/03/14,0
20/03/14,0
21/03/14,0
22/03/14,0
23/03/14,0
24/03/14,0
25/03/14,0
26/03/14,0
27/03/14,0
28/03/14,0
29/03/14,0
30/03/14,0
31/03/14,0
01/04/14,0
02/04/14,0
03/04/14,0
04/04/14,0
05/04/14,0
06/04/14,0
07/04/14,0
08/04/14,0
09/04/14,0
10/04/14,0
11/04/14,0
12/04/14,0
13/04/14,0
14/04/14,0
15/04/14,0
16/04/14,0
17/04/14,0
18/04/14,0
19/04/14,0
20/04/14,0
21/04/14,0
22/04/14,0
23/04/14,0
24/04/14,1380
25/04/14,2289
26/04/14,476
27/04/14,1186
28/04/14,2481
29/04/14,2796
30/04/14,1069
01/05/14,1385
02/05/14,2264
03/05/14,1845
04/05/14,577
05/05/14,2435
06/05/14,3483
07/05/14,4089
08/05/14,4031
09/05/14,2486
10/05/14,3289
11/05/14,3915
12/05/14,4511
13/05/14,3556
14/05/14,3546
15/05/14,4777
16/05/14,1656
17/05/14,2309
18/05/14,3729
19/05/14,4327
20/05/14,5123
21/05/14,5194
22/05/14,2799
23/05/14,2996
24/05/14,3908
25/05/14,4720
26/05/14,2697
27/05/14,1337
28/05/14,2521
29/05/14,5104
30/05/14,4730
31/05/14,5076
01/06/14,6475
02/06/14,5321
03/06/14,2548
04/06/14,4773
05/06/14,3594
06/06/14,4579
07/06/14,5836
08/06/14,5628
09/06/14,5426
10/06/14,4376
11/06/14,4324
12/06/14,971
13/06/14,1029
14/06/14,2982
15/06/14,4840
16/06/14,5114
17/06/14,5200
18/06/14,4564
19/06/14,5759
20/06/14,4855
21/06/14,4085
22/06/14,4778
23/06/14,5331
24/06/14,1351
25/06/14,3414
26/06/14,5576
27/06/14,5530
28/06/14,4718
29/06/14,4237
30/06/14,3795
01/07/14,3890
02/07/14,5316
03/07/14,4139
04/07/14,4028
05/07/14,4784
06/07/14,4272
07/07/14,2252
08/07/14,4412
09/07/14,4418
10/07/14,5537
11/07/14,5177
12/07/14,4884
13/07/14,1564
14/07/14,4914
15/07/14,2903
16/07/14,5483
17/07/14,4836
18/07/14,5068
19/07/14,4521
20/07/14,4243
21/07/14,4527
22/07/14,4860
23/07/14,2782
24/07/14,5358
25/07/14,4330
26/07/14,3870
27/07/14,1990
28/07/14,1310
29/07/14,4575
30/07/14,4272
31/07/14,3027
01/08/14,4553
02/08/14,3983
03/08/14,4163
04/08/14,4161
05/08/14,4166
06/08/14,4848
07/08/14,3969
08/08/14,4565
09/08/14,4332
10/08/14,4143
11/08/14,4023
12/08/14,4180
13/08/14,669
14/08/14,2996
15/08/14,1872
16/08/14,1423
17/08/14,2993
18/08/14,4426
19/08/14,5037
20/08/14,5313
21/08/14,3632
22/08/14,4173
23/08/14,4280
24/08/14,4506
25/08/14,4811
26/08/14,5195
27/08/14,4875
28/08/14,4439
29/08/14,4692
30/08/14,3893
31/08/14,1848
01/09/14,3527
02/09/14,3339
03/09/14,4804
04/09/14,5166
05/09/14,4272
06/09/14,1686
07/09/14,4135
08/09/14,4509
09/09/14,5020
10/09/14,4663
11/09/14,1978
12/09/14,3548
13/09/14,1222
14/09/14,2100
15/09/14,3357
16/09/14,3398
17/09/14,3701
18/09/14,3468
19/09/14,3347
20/09/14,2630
21/09/14,1448
22/09/14,2499
23/09/14,2848
24/09/14,3721
25/09/14,4249
26/09/14,4222
27/09/14,4394
28/09/14,3721
29/09/14,2972
30/09/14,3150
01/10/14,3374
02/10/14,3566
03/10/14,3662
04/10/14,678
05/10/14,1923
06/10/14,2921
07/10/14,1723
08/10/14,1150
09/10/14,2325
10/10/14,2419
11/10/14,1685
12/10/14,1841
13/10/14,2023
14/10/14,3316
15/10/14,2553
16/10/14,1285
17/10/14,2199
18/10/14,1391
19/10/14,1352
20/10/14,2066
21/10/14,1270
22/10/14,1809
23/10/14,1220
24/10/14,1707
25/10/14,1292
26/10/14,1235
27/10/14,2292
28/10/14,1677
29/10/14,2287
30/10/14,2114
31/10/14,2051
01/11/14,1036
02/11/14,1149
03/11/14,1633
04/11/14,1476
05/11/14,1724
06/11/14,1601
07/11/14,1116
08/11/14,982
09/11/14,875
10/11/14,1480
11/11/14,1896
12/11/14,961
13/11/14,1413
14/11/14,1256
15/11/14,867
16/11/14,306
17/11/14,156
18/11/14,6
19/11/14,6
20/11/14,1
21/11/14,4
22/11/14,4
23/11/14,85
24/11/14,216
25/11/14,231
26/11/14,288
27/11/14,196
28/11/14,27
29/11/14,62
30/11/14,87
01/12/14,163
02/12/14,119
03/12/14,2
04/12/14,4
05/12/14,7
06/12/14,0
07/12/14,3
08/12/14,3
09/12/14,4
10/12/14,5
11/12/14,5
12/12/14,4
13/12/14,0
14/12/14,0
15/12/14,7
16/12/14,6
17/12/14,9
18/12/14,1
19/12/14,4
20/12/14,1
21/12/14,2
22/12/14,6
23/12/14,2
24/12/14,6
25/12/14,20
26/12/14,36
27/12/14,55
28/12/14,70
29/12/14,30
30/12/14,25
31/12/14,37
